epic,story,task,severity,impact,effort,priority_formula,priority,p0_p1_p2,acceptance_criteria,evidence
Security Hardening,Secret hygiene,Enforce non-empty strong JWT secret at startup,P0,5,1,Severity*Impact/Effort,25,P0,"Service refuses to boot when JWT secret missing/weak","go-core/main.go:320-321; go-core/auth/jwt.go:24-29"
Security Hardening,Secret hygiene,Remove tracked .env secrets and rotate credentials,P0,5,2,Severity*Impact/Effort,12.5,P0,"No active secrets in repo history and runtime uses secret manager",".env:7-9"
Queue Reliability,Retry+DLQ,"Add retry counter, DLQ routing, and XAUTOCLAIM recovery",P0,5,3,Severity*Impact/Effort,8.3,P0,"Failed tasks retried with backoff then moved to DLQ; pending reclaimed","python-worker/main.py:1561-1649"
Queue Reliability,Idempotency,Add idempotency key/state guard for internal status callbacks,P1,4,2,Severity*Impact/Effort,8,P1,"Duplicate callback does not corrupt state","go-core/main.go:1193-1237;2236-2275"
Multi-tenancy Foundation,Tenant model,Introduce tenant/org/member schema and migration,P0,5,3,Severity*Impact/Effort,8.3,P0,"Every user belongs to tenant/org with enforced FK","go-core/models/models.go:10-302"
Multi-tenancy Foundation,Tenant isolation,Propagate tenant_id through API/DB/object path,P0,5,4,Severity*Impact/Effort,6.25,P0,"All resource queries include tenant filter; object key tenant-aware","go-core/main.go:1130-1190; python-worker/main.py:366-374"
Billing and Metering,Usage events,Emit usage events for upload/AI/export/storage delta,P1,4,3,Severity*Impact/Effort,5.3,P1,"Per-tenant usage ledger queryable by period","go-core/main.go:1484-1537;2016-2088;5084-5113"
Billing and Metering,Quota plans,Implement plan limits and overage policy engine,P1,4,3,Severity*Impact/Effort,5.3,P1,"Requests over plan are throttled or billed according to policy","go-core/models/models.go:19-20"
Observability,Traceability,Add request/job trace correlation IDs across services,P1,4,2,Severity*Impact/Effort,8,P1,"Can trace a request from API to worker and object path","go-core/main.go:369; python-worker/main.py:1574"
Observability,Metrics and alerting,Expose Prometheus metrics and SLO alerts,P1,4,2,Severity*Impact/Effort,8,P1,"Dashboards and alerts for queue depth/error rate/latency available","go-core/main.go; python-worker/main.py"
Security Upgrade,Internal comms,Replace static internal secret with mTLS/signed short token,P1,4,3,Severity*Impact/Effort,5.3,P1,"Internal endpoints reject replay and untrusted callers","go-core/main.go:268-275"
Data Governance,Backup recovery,Define RPO/RTO and automate restore drill,P1,4,3,Severity*Impact/Effort,5.3,P1,"Quarterly restore test evidence retained","go-core/main.go:2884-2994"
Delivery,Release engineering,Introduce CI/CD environments and rollback workflow,P2,3,3,Severity*Impact/Effort,3,P2,"Staging->prod promotion with automated rollback verified","docker-compose.yml; nginx/nginx.conf"
