file_path,category,purpose,risk_tags
.env,configuration/deployment,Local runtime secrets and service credentials,secret-exposure;weak-defaults
.env.example,configuration/deployment,Environment template for deployment setup,misconfiguration
.gitignore,project-meta,Repository supporting file,low
.vscode/settings.json,project-meta,Repository supporting file,low
LICENSE,project-meta,Repository supporting file,low
README.md,project-meta,Product and deployment documentation,doc-drift
docker-compose.yml,configuration/deployment,Local multi-service topology and env wiring,network-exposure;default-credential
frontend/.dockerignore,frontend-asset,Repository supporting file,low
frontend/.gitignore,frontend-asset,Repository supporting file,low
frontend/Dockerfile,configuration/deployment,Repository supporting file,low
frontend/README.md,frontend-asset,Repository supporting file,low
frontend/eslint.config.mjs,frontend-config,Repository supporting file,low
frontend/next.config.ts,frontend-code,Repository supporting file,low
frontend/package-lock.json,frontend-config,Repository supporting file,low
frontend/package.json,frontend-config,Repository supporting file,low
frontend/postcss.config.mjs,frontend-config,Repository supporting file,low
frontend/public/file.svg,frontend-asset,Frontend static assets / PWA files,stale-cache
frontend/public/globe.svg,frontend-asset,Frontend static assets / PWA files,stale-cache
frontend/public/icons/icon.svg,frontend-asset,Frontend static assets / PWA files,stale-cache
frontend/public/manifest.json,frontend-config,Frontend static assets / PWA files,stale-cache
frontend/public/next.svg,frontend-asset,Frontend static assets / PWA files,stale-cache
frontend/public/offline.html,frontend-asset,Frontend static assets / PWA files,stale-cache
frontend/public/sw.js,frontend-code,Frontend static assets / PWA files,stale-cache
frontend/public/vercel.svg,frontend-asset,Frontend static assets / PWA files,stale-cache
frontend/public/window.svg,frontend-asset,Frontend static assets / PWA files,stale-cache
frontend/src/app/@modal/(.)photo/[id]/page.tsx,frontend-code,Frontend UI and API integration logic,xss;auth-state
frontend/src/app/@modal/default.tsx,frontend-code,Frontend UI and API integration logic,xss;auth-state
frontend/src/app/admin/page.tsx,frontend-code,Frontend UI and API integration logic,xss;auth-state
frontend/src/app/albums/[id]/page.tsx,frontend-code,Frontend UI and API integration logic,xss;auth-state
frontend/src/app/albums/page.tsx,frontend-code,Frontend UI and API integration logic,xss;auth-state
frontend/src/app/analytics/page.tsx,frontend-code,Frontend UI and API integration logic,xss;auth-state
frontend/src/app/api/admin/ai-rate-limits/[id]/route.ts,frontend-code,Frontend UI and API integration logic,xss;auth-state
